HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130107,DSL,0,5128,"Beggs Telephone Company, Inc."
130108,FTTH,1,27322,BEK Communications Cooperative
130112,DSL,0,95085,Ben Lomand
130112,FTTH,1,24772,Ben Lomand
130114,DSL,0,3570,BW Telcom
130114,FTTH,0,2693,BW Telcom
130114,Other,0,19254,BW Telcom
130115,DOCSIS,0,9552,Benton Cooperative Telephone Company
130115,DSL,0,10358,Benton Cooperative Telephone Company
130115,FTTH,0,5133,Benton Cooperative Telephone Company
130115,Other,0,19514,Benton Cooperative Telephone Company
130116,DSL,0,1809,Benton Ridge Telephone Company
130116,FTTH,0,131444,Benton Ridge Telephone Company
130116,Other,0,2956047,Benton Ridge Telephone Company
130118,DSL,0,2101,Beresford Municipal Telephone Company
130119,DSL,0,374,Bergen Telephone Company
130119,FTTH,0,658,Bergen Telephone Company
130120,FTTH,0,11236,"Bernard Telephone Company, Inc."
130120,Other,0,7107,"Bernard Telephone Company, Inc."
130122,DSL,0,212242,Biddeford Internet Corporation
130122,FTTH,1,1285,Biddeford Internet Corporation
130122,Other,0,353,Biddeford Internet Corporation
130123,DSL,0,19068,"Big Bend Telephone Co., Inc."
130123,FTTH,1,5194,"Big Bend Telephone Co., Inc."
130123,Other,0,41349,"Big Bend Telephone Co., Inc."
130124,DSL,0,17901,"Big River Telephone, LLC"
130124,Other,0,59691,"Big River Telephone, LLC"
130126,DSL,0,2356,"Bijou Telephone Co-Op Association, Inc."
130126,FTTH,0,1036,"Bijou Telephone Co-Op Association, Inc."
130126,Other,0,20351,"Bijou Telephone Co-Op Association, Inc."
130127,DSL,0,44777,Birch Communications Inc.
130130,DSL,1,31582,Bixby Telephone Company
130130,FTTH,1,35526,Bixby Telephone Company
130132,DSL,0,76576,"Blackfoot Telephone Cooperative, Inc."
130132,FTTH,1,10993,"Blackfoot Telephone Cooperative, Inc."
130132,Other,0,9976,"Blackfoot Telephone Cooperative, Inc."
130133,DSL,0,578,Blanca Telephone Company/Jade Communications LLC
130133,FTTH,1,4638,Blanca Telephone Company/Jade Communications LLC
130133,Other,1,39752,Blanca Telephone Company/Jade Communications LLC
130134,DSL,0,3798,"Blanchard Telephone Association, Inc."
130136,DSL,0,30548,Bledsoe Telephone Cooperative Inc.
130136,FTTH,1,11837,Bledsoe Telephone Cooperative Inc.
130137,DOCSIS,1,821257,"Block Communications, Inc."
130137,FTTH,1,14479,"Block Communications, Inc."
130138,DSL,0,50,Bloomer Telephone Company
130138,FTTH,1,7185,Bloomer Telephone Company
130139,DSL,0,1637,Bloomingdale Home Telephone Company
130139,FTTH,0,2902,Bloomingdale Home Telephone Company
130140,DSL,0,5289,"Bloomingdale Telephone Company, Inc."
130140,FTTH,1,10909,"Bloomingdale Telephone Company, Inc."
130141,DSL,0,4058,"Blossom Telephone Co., Inc."
130141,FTTH,0,3461,"Blossom Telephone Co., Inc."
130142,DOCSIS,0,4423,Rural Communications Holding Corporation
130142,DSL,0,49468,Rural Communications Holding Corporation
130142,FTTH,1,16641,Rural Communications Holding Corporation
130144,DOCSIS,0,3374,"Blue Valley Tele-Communications, Inc."
130144,FTTH,0,8302,"Blue Valley Tele-Communications, Inc."
130144,Other,0,10268,"Blue Valley Tele-Communications, Inc."
130146,Other,0,671405,Brandenburg Cellular Corporation
130148,DSL,0,3504,"BPM, Inc.?"
130149,DOCSIS,1,34899,Braintree Electric Light Department
130150,DSL,0,148066,Brandenburg Communications Corp.
130150,FTTH,1,104118,Brandenburg Communications Corp.
130151,FTTH,1,18254,"Brantley Telephone Company, Inc."
130152,DOCSIS,0,14215,Brazoria Telephone Company
130152,DSL,0,12242,Brazoria Telephone Company
130152,FTTH,1,420,Brazoria Telephone Company
130153,DSL,0,10297,"Brazos Telephone Cooperative, Inc."
130153,FTTH,0,7497,"Brazos Telephone Cooperative, Inc."
130154,DSL,0,14531,Breda Telephone Corp.
130154,FTTH,1,12660,Breda Telephone Corp.
130154,Other,0,14079,Breda Telephone Corp.
130160,DSL,0,1739,Bristol Bay Telephone Cooperative
130161,FTTH,1,271,Broadband Corp.
130161,Other,0,50890,Broadband Corp.
130168,DOCSIS,0,8136,Broken Bow TV Cable
130169,DOCSIS,0,234,Brooklyn Mutual Telecommunications Cooperative
130169,DSL,0,2906,Brooklyn Mutual Telecommunications Cooperative
130169,FTTH,0,2906,Brooklyn Mutual Telecommunications Cooperative
130170,DSL,0,3115,"Bruce Telephone Company, Inc."
130170,FTTH,0,349,"Bruce Telephone Company, Inc."
130171,DSL,0,352,Bryan Family Inc.
130171,Other,0,1024,Bryan Family Inc.
130175,DSL,0,8207,Buggs Island Telephone Cooperative
130175,Other,0,63302,Buggs Island Telephone Cooperative
130176,DSL,1,124492,"Bulloch County Rural Telephone Cooperative, Inc."
130178,FTTH,0,238,"Burke's Garden Telephone Co., Inc."
130179,DOCSIS,0,1763,Butler-Bremer Mutual Telephone Company
130179,DSL,0,1559,Butler-Bremer Mutual Telephone Company
130179,FTTH,0,7863,Butler-Bremer Mutual Telephone Company
130183,DOCSIS,1,4346198,"Cable One, Inc."
130183,FTTH,1,4192,"Cable One, Inc."
130184,DOCSIS,1,22947,"Cable Services, Inc."
130189,DSL,0,8182,Calaveras Communications Company
130189,FTTH,1,2024,Calaveras Communications Company
130189,Other,0,3415,Calaveras Communications Company
130192,DSL,0,5999,"Cambridge TelCom, Inc."
130192,FTTH,1,2997,"Cambridge TelCom, Inc."
130193,DSL,0,8042,"Cambridge Telephone Company, Inc."
130193,FTTH,1,8558,"Cambridge Telephone Company, Inc."
130193,Other,0,1957,"Cambridge Telephone Company, Inc."
130195,DSL,0,3072,Canadian Valley Telephone Company
130196,DSL,0,20547,Canby Telephone Association
130196,FTTH,1,21317,Canby Telephone Association
130199,DSL,0,995,"Cap Rock Telephone Cooperative, Inc."
130199,FTTH,0,6462,"Cap Rock Telephone Cooperative, Inc."
130199,Other,0,1,"Cap Rock Telephone Cooperative, Inc."
130201,DSL,0,1225,Carnegie Telephone Company
130201,FTTH,1,1830,Carnegie Telephone Company
130202,DOCSIS,0,48056,Carolina Mountain/Country Cablevision
130203,DSL,0,2325,"Carr Communications, Inc."
130204,FTTH,1,3878,Cascade Communications Company
130206,DSL,0,20314,Day Management Corporation
130206,FTTH,0,27674,Day Management Corporation
130206,Other,0,0,Day Management Corporation
130207,DSL,0,1085,Casey Mutual Telephone Company
130207,FTTH,1,1085,Casey Mutual Telephone Company
130208,DOCSIS,0,44640,"Cass Communications Management, Inc."
130208,DSL,0,6327,"Cass Communications Management, Inc."
130208,FTTH,1,5693,"Cass Communications Management, Inc."
130208,Other,0,33192,"Cass Communications Management, Inc."
130210,DSL,0,2615,Castleberry Communications
130218,FTTH,1,40971,Cedar Falls Municipal Communications Utility
130218,Other,0,27027,Cedar Falls Municipal Communications Utility
130223,DSL,0,1108,"Center Junction Telephone Company, Inc."
130224,DSL,0,7196,"Central Arkansas Telephone Cooperative, Inc."
130224,FTTH,1,1553,"Central Arkansas Telephone Cooperative, Inc."
130226,DSL,0,10128,Central Oklahoma Telephone Co.
130226,FTTH,0,2039,Central Oklahoma Telephone Co.
130226,Other,0,12996,Central Oklahoma Telephone Co.
130227,DSL,0,7829,"Central Texas Telephone Cooperative, Inc."
130227,FTTH,1,9953,"Central Texas Telephone Cooperative, Inc."
130227,Other,0,415451,"Central Texas Telephone Cooperative, Inc."
130228,DSL,1,49300155,"CenturyLink, Inc."
130228,FTTH,1,6151555,"CenturyLink, Inc."
130228,Other,0,1083,"CenturyLink, Inc."
130233,DSL,0,2279,Chapin Communications Corporation
130234,DSL,0,7858,Chariton Valley Telephone Corporation
130234,FTTH,1,21828,Chariton Valley Telephone Corporation
130234,Other,0,113025,Chariton Valley Telephone Corporation
130235,DOCSIS,1,102726027,Charter Communications
130235,FTTH,1,638969,Charter Communications
130237,DOCSIS,0,16453,Chatmoss Cablevision
130238,DSL,0,8521,Chazy & Westport Telephone
130238,FTTH,0,5472,Chazy & Westport Telephone
130239,DSL,0,6020,"Chequamegon Communications Cooperative, Inc."
130239,FTTH,1,11403,"Chequamegon Communications Cooperative, Inc."
130240,DSL,0,16345,Cherokee Telephone Company
130240,FTTH,0,640,Cherokee Telephone Company
130242,DOCSIS,1,95998,Chester Telephone Company
130242,DSL,0,40382,Chester Telephone Company
130242,FTTH,1,9546,Chester Telephone Company
130243,FTTH,0,6597,Cheyenne River Sioux Tribe Telephone Authority
130244,DSL,1,25550,"Chibardun Telephone Cooperative, Inc."
130244,FTTH,1,4839,"Chibardun Telephone Cooperative, Inc."
130245,DSL,0,70393,Chickasaw Holding Company
130245,FTTH,1,94,Chickasaw Holding Company
130250,DSL,0,3423,Christensen Communications Company
130250,FTTH,0,1304,Christensen Communications Company
130250,Other,0,1287,Christensen Communications Company
130252,DSL,0,15942,"Churchill County, State of Nevada"
130252,FTTH,0,17347,"Churchill County, State of Nevada"
130254,DOCSIS,0,20168,Cincinnati Bell Inc.
130254,DSL,0,1427063,Cincinnati Bell Inc.
130254,FTTH,1,1375465,Cincinnati Bell Inc.
130258,DSL,0,33290459,Frontier Communications Corporation
130258,FTTH,0,10926625,Frontier Communications Corporation
130259,DSL,0,4182,Citizens Mutual Telephone Cooperative
130259,FTTH,1,7094,Citizens Mutual Telephone Cooperative
130263,DOCSIS,0,13310,"Citizens Telephone Company of Higginsville, Missouri"
130263,DSL,0,7907,"Citizens Telephone Company of Higginsville, Missouri"
130263,FTTH,0,729,"Citizens Telephone Company of Higginsville, Missouri"
130264,DSL,0,61,Citizens Telephone Company of Kecksburg
130264,FTTH,1,20544,Citizens Telephone Company of Kecksburg
130265,DOCSIS,0,4113,"Citizens Telephone Company, Inc. (GA)"
130265,DSL,0,10314,"Citizens Telephone Company, Inc. (GA)"
130265,FTTH,0,3065,"Citizens Telephone Company, Inc. (GA)"
130266,DOCSIS,0,11025,Citizens Telephone Cooperative (VA)
130266,DSL,0,16427,Citizens Telephone Cooperative (VA)
130266,FTTH,1,5459,Citizens Telephone Cooperative (VA)
130267,DSL,1,1198,"Citizens Telephone Cooperative, Inc. (WI)"
130267,FTTH,1,5211,"Citizens Telephone Cooperative, Inc. (WI)"
130268,DSL,0,3768,Citizens Telephone Corporation
130268,FTTH,0,1868,Citizens Telephone Corporation
130269,DOCSIS,0,758,"Citizens-Vermont Acquisition Company, Inc."
130269,DSL,0,4756,"Citizens-Vermont Acquisition Company, Inc."
130269,FTTH,0,7429,"Citizens-Vermont Acquisition Company, Inc."
130270,FTTH,0,2622,City of Barnesville Municipal Telephone
130271,DSL,0,21994,City of Brookings Telephone Fund
130271,FTTH,1,21994,City of Brookings Telephone Fund
130272,DOCSIS,0,8973,City of Cairo
130274,DSL,0,422,City of Faith Municipal Telephone Company
130274,FTTH,0,214,City of Faith Municipal Telephone Company
130275,DSL,0,13108,City of Ketchikan
130275,FTTH,1,12995,City of Ketchikan
130275,Other,0,28,City of Ketchikan
130278,DOCSIS,0,28277,City of San Bruno
130278,FTTH,1,1498,City of San Bruno
130279,FTTH,0,7388,City of Scottsburg
130279,Other,0,105522,City of Scottsburg
130281,DOCSIS,0,29702,City of Thomasville Utilities
130282,DOCSIS,1,25738,City of Wadsworth
130282,FTTH,0,25738,City of Wadsworth
130283,FTTH,0,4851,City of Windom
130285,DSL,0,3541,"Clarence Telephone Company, Inc."
130285,FTTH,0,4910,"Clarence Telephone Company, Inc."
130285,Other,0,3541,"Clarence Telephone Company, Inc."
130287,DSL,0,654,Clarksville Mutual Telephone Company
130288,FTTH,1,34831,"Clay County Rural Telephone Cooperative, Inc."
130289,DOCSIS,0,11881,Clear Creek Mutual Telephone Company
130289,DSL,0,341,Clear Creek Mutual Telephone Company
130290,DSL,0,803,Clear Lake Independent Telephone Company
130290,FTTH,1,13460,Clear Lake Independent Telephone Company
130291,DOCSIS,0,2593,Clear Lake Telephone Company
130291,DSL,0,3606,Clear Lake Telephone Company
130291,FTTH,0,28,Clear Lake Telephone Company
130292,DSL,0,448939,"Clear Rate Communications, Inc."
130299,DSL,0,5390,Climax Telephone Company
130299,FTTH,0,3644,Climax Telephone Company
130300,DSL,0,13046,Clinton County Telephone Company
130300,FTTH,1,20540,Clinton County Telephone Company
130302,FTTH,0,7657,C-M-L Telephone Cooperative Association
130303,DOCSIS,1,7417,Coast Communications Co. Inc.
130305,FTTH,1,3221,Cochrane Cooperative Telephone Company
130307,DSL,0,1214,"Coleman County Telephone Cooperative, Inc."
130307,FTTH,0,2749,"Coleman County Telephone Cooperative, Inc."
130307,Other,0,7887,"Coleman County Telephone Cooperative, Inc."
130309,DOCSIS,0,64,COLI Inc.
130309,FTTH,1,1475,COLI Inc.
130309,Other,0,149722,COLI Inc.
130310,FTTH,0,4623,Colo Telephone Company
130311,DSL,0,12613,"Colorado Valley Telephone Cooperative, Inc."
130311,FTTH,1,2511,"Colorado Valley Telephone Cooperative, Inc."
130311,Other,0,25463,"Colorado Valley Telephone Cooperative, Inc."
130312,DSL,0,155,Colton Telephone Company
130312,FTTH,0,3296,Colton Telephone Company
130314,FTTH,1,12924,Columbus Telephone Company
130315,DSL,0,18286,"First American Holdings, LLC"
130315,FTTH,1,6595,"First American Holdings, LLC"
130315,Other,0,47023,"First American Holdings, LLC"
130316,Other,0,14780,"Combined Technologies, Inc."
130317,DOCSIS,1,110565393,Comcast Corporation
130317,FTTH,1,17963,Comcast Corporation
130321,FTTH,0,7821,"Communications 1 Network, Inc."
130322,DOCSIS,1,85543,"Community Antenna Service, Inc."
130324,FTTH,0,463,"Community Digital Wireless, LLC"
130324,Other,0,5515,"Community Digital Wireless, LLC"
130325,Other,0,3751,Community Internet Service (IA)
130326,DSL,0,2681,"Community Internet Systems, Inc. (NE)"
130326,Other,0,2509,"Community Internet Systems, Inc. (NE)"
130327,DSL,0,1515,"Community Telephone Co., Inc."
130327,FTTH,0,2119,"Community Telephone Co., Inc."
130329,DSL,1,8773,"Computer 5, Inc."
130329,Other,0,46044,"Computer 5, Inc."
130331,Other,0,225717,"Computer Sales & Services, Inc."
130335,DOCSIS,0,185373,Hickory Tech Corporation
130335,DSL,0,4519414,Hickory Tech Corporation
130335,FTTH,1,965022,Hickory Tech Corporation
130335,Other,0,14585,Hickory Tech Corporation
130337,DOCSIS,1,16470,Consolidated Telcom
130337,FTTH,1,36524,Consolidated Telcom
130337,Other,0,34521,Consolidated Telcom
130338,DSL,0,10520,Consolidated Telephone Company
130338,FTTH,1,55662,Consolidated Telephone Company
130338,Other,0,1100,Consolidated Telephone Company
130340,DOCSIS,0,60799,Conway Corporation
130343,DSL,0,6358,Coon Creek Telephone Company
130344,DSL,0,5646,"Coon Valley Cooperative Telephone Association, Inc."
130344,FTTH,1,5646,"Coon Valley Cooperative Telephone Association, Inc."
130344,Other,0,5646,"Coon Valley Cooperative Telephone Association, Inc."
130345,DSL,0,3961,"Coon Valley Farmers Telephone Company, Inc."
130345,FTTH,0,1903,"Coon Valley Farmers Telephone Company, Inc."
130346,DSL,0,3237,Cooperative Telephone Company
130346,FTTH,0,3237,Cooperative Telephone Company
130346,Other,0,2196,Cooperative Telephone Company
130347,FTTH,0,3377,Cooperative Telephone Exchange
130349,DSL,0,6467,Copper Valley Telephone Cooperative
130352,DSL,0,2145,"Cordova Telephone Cooperative, Inc."
130353,FTTH,0,2505,Corn Belt Telephone Company
130353,Other,0,1302,Corn Belt Telephone Company
130360,DOCSIS,1,20798327,"Cox Communications, Inc."
130360,FTTH,1,1143908,"Cox Communications, Inc."
130361,DSL,0,1150,Cozad Telephone Company
130361,FTTH,0,4059,Cozad Telephone Company
130362,DSL,0,14239,"CP-Tel Holdings, Inc."
130362,FTTH,0,19216,"CP-Tel Holdings, Inc."
130363,DSL,0,3329,"Craigville Telephone Company, Inc."
130363,FTTH,1,10834,"Craigville Telephone Company, Inc."
130364,DSL,0,30952,Craw-Kan
130364,FTTH,1,18959,Craw-Kan
130366,DSL,0,19707,Cross Telephone Company LLC
130366,FTTH,1,5341,Cross Telephone Company LLC
130368,DSL,0,736,"Crossville Consolidated Communications, Inc."
130369,DSL,0,1119,Crown Point Telephone Corporation
130369,FTTH,0,5406,Crown Point Telephone Corporation
130370,DOCSIS,1,19259006,"CSC Holdings, LLC"
130370,FTTH,1,360134,"CSC Holdings, LLC"
130374,DSL,0,4207,Cumberland Telephone Company
130374,FTTH,0,4207,Cumberland Telephone Company
130374,Other,0,5940,Cumberland Telephone Company
130375,DSL,0,8853,"Cumby Telephone Cooperative, Inc."
130375,FTTH,0,3072,"Cumby Telephone Cooperative, Inc."
130378,DOCSIS,0,3403,Custer Telephone Cooperative Inc.
130378,DSL,0,2872,Custer Telephone Cooperative Inc.
130378,FTTH,0,5531,Custer Telephone Cooperative Inc.
130378,Other,0,5684,Custer Telephone Cooperative Inc.
130380,DSL,0,11126,"Cutter Communications, Inc."
130380,FTTH,1,4009,"Cutter Communications, Inc."
130380,Other,0,1548,"Cutter Communications, Inc."
130385,DOCSIS,1,51332,"D & P Communications, Inc."
130385,DSL,0,14063,"D & P Communications, Inc."
130385,Other,0,20963,"D & P Communications, Inc."
130386,DSL,0,24308,"D D & B, Inc."
130386,FTTH,1,7467,"D D & B, Inc."
130387,FTTH,1,25520,Dakota Central Telecommunications Cooperative
130387,Other,0,1166,Dakota Central Telecommunications Cooperative
130390,DSL,0,3467,Danville Mutual Telephone Company (iconnectyou)
130390,FTTH,1,13270,Danville Mutual Telephone Company (iconnectyou)
130390,Other,0,13270,Danville Mutual Telephone Company (iconnectyou)
130391,DOCSIS,0,12295,"Darien Telephone Company, Inc."
130391,DSL,0,3787,"Darien Telephone Company, Inc."
130391,FTTH,0,3779,"Darien Telephone Company, Inc."
130393,DSL,0,15231,Daviess-Martin County RTC
130393,FTTH,0,15231,Daviess-Martin County RTC
130395,DSL,0,9291,"Decatur Holding Company, Inc."
130396,DSL,0,47130,"DeKalb Telephone Cooperative, Inc."
130396,FTTH,0,12130,"DeKalb Telephone Cooperative, Inc."
130398,DSL,0,5540,Delcambre Telephone Co.
130398,FTTH,0,5540,Delcambre Telephone Co.
130399,DSL,0,1425,Delhi Telephone Company
130399,FTTH,0,10831,Delhi Telephone Company
130400,DSL,0,29927,"Dell Telephone Cooperative, Inc."
130400,FTTH,0,28789,"Dell Telephone Cooperative, Inc."
130400,Other,0,29255,"Dell Telephone Cooperative, Inc."
130401,DSL,0,22676,Delta Communications
130401,FTTH,0,203,Delta Communications
130401,Other,0,324,Delta Communications
130402,Other,0,8714,"DerbyTech, Inc."
130405,FTTH,1,19276,Dickey Rural Telephone Cooperative
130416,DOCSIS,0,10424,Doylestown Telephone Company
130416,DSL,0,10491,Doylestown Telephone Company
130416,FTTH,0,16148,Doylestown Telephone Company
130419,FTTH,1,3474,Dumont Telephone Company
130420,DSL,0,4809,"Dunbarton Telephone Company, Inc."
130420,FTTH,0,1460,"Dunbarton Telephone Company, Inc."
130421,DSL,0,2004,Dunkerton Telephone Cooperative
130421,FTTH,0,2004,Dunkerton Telephone Cooperative
130423,DOCSIS,0,11899,Duo County Telephone Cooperative Inc.
130423,DSL,0,19195,Duo County Telephone Cooperative Inc.
130423,FTTH,1,19458,Duo County Telephone Cooperative Inc.
130425,DSL,0,35233,DWL Holding Company
130425,Other,0,6789,DWL Holding Company
130427,DOCSIS,0,124303,"E. Ritter Communications Holdings, Inc."
130427,DSL,0,86928,"E. Ritter Communications Holdings, Inc."
130427,FTTH,1,26630,"E. Ritter Communications Holdings, Inc."
130429,DOCSIS,0,69886,"Eagle Communications, Inc."
130429,Other,0,5929,"Eagle Communications, Inc."
130431,DSL,0,384,"Eagle Telephone Systems, Inc."
130431,FTTH,0,485,"Eagle Telephone Systems, Inc."
130432,DOCSIS,0,37474,EATEL Corp.
130432,DSL,0,130294,EATEL Corp.
130432,FTTH,1,147237,EATEL Corp.
130433,DSL,0,3095,East Buchanan Telephone Cooperative
130433,Other,0,1702,East Buchanan Telephone Cooperative
130437,FTTH,1,29,"Eastern Indiana WIFI, Inc."
130437,Other,1,6206,"Eastern Indiana WIFI, Inc."
130439,DSL,0,6053,"Eastern Slope Rural Telephone Association, Inc."
130439,FTTH,0,4968,"Eastern Slope Rural Telephone Association, Inc."
130440,DSL,0,77347,"Eastex Telephone Cooperative, Inc."
130440,FTTH,1,4951,"Eastex Telephone Cooperative, Inc."
130444,DSL,0,10189,Egyptian Telephone Cooperative Association
130444,Other,0,4524,Egyptian Telephone Cooperative Association
130445,DOCSIS,0,51201,Electric and Water Plant Board of the City of Frankfort
130446,DOCSIS,0,13548,"Electric Plant Board of the City of Glasgow, KY"
130448,DSL,0,5650,Ellerbe Telephone Company
130448,FTTH,0,524,Ellerbe Telephone Company
130448,Other,0,21458,Ellerbe Telephone Company
130449,DSL,0,3594,Ellington Telephone Company
130449,FTTH,0,1912,Ellington Telephone Company
130450,FTTH,0,2784,Ellsworth Cooperative Telephone Association
130453,DOCSIS,0,41800,Emery Telcom
130453,DSL,0,32084,Emery Telcom
130453,FTTH,1,28622,Emery Telcom
130454,FTTH,1,2407,Emily Cooperative Telephone Company
130455,DSL,0,25161,Empire Telephone Corporation/North Penn Telephone Company
130455,FTTH,1,93930,Empire Telephone Corporation/North Penn Telephone Company
130458,DSL,0,7104,"ENMR Telephone Cooperative, Inc."
130458,FTTH,1,79831,"ENMR Telephone Cooperative, Inc."
130458,Other,1,82160,"ENMR Telephone Cooperative, Inc."
